MTgenes,G2Mgenes,Sgenes,RMgenes
,,,AMEX60DD010564::MSTRG.9495
,,,AMEX60DD010567::MSTRG.9497
,,,AMEX60DD010568::MSTRG.9498
,,,AMEX60DD010569::MSTRG.9499
,,,AMEX60DD010572::MSTRG.9501
,,,AMEX60DD010577::MSTRG.9505
,,,AMEX60DD010580::MSTRG.9506
,,,AMEX60DD010584::MSTRG.9507
,,,AMEX60DD010612::MSTRG.9519
,,,AMEX60DD010618::MSTRG.9522
,,,AMEX60DD010621::MSTRG.9523
,,,AMEX60DD010622::MSTRG.9524
,,,AMEX60DD010623::MSTRG.9525
,,,AMEX60DD010624::MSTRG.9526
,,,RPS2::AMEX60DD010626::MSTRG.9528
,,,AMEX60DD010632::MSTRG.9532
,,,MSTRG.9534
,,,AMEX60DD010633::MSTRG.9535
,,,MSTRG.9536
,,,MSTRG.9537
,,,MSTRG.9538
,,,MSTRG.9539
,,,MSTRG.9540
,,,MSTRG.9541
,,,AMEX60DD010634::MSTRG.9542
,,,AMEX60DD010635::MSTRG.9543
,,,AMEX60DD010649::MSTRG.9547
,,,MSTRG.9548
,,,AMEX60DD010644::MSTRG.9549
,,,AMEX60DD010651::MSTRG.9555
,,,AMEX60DD010654::MSTRG.9557
,,,AMEX60DD010655::MSTRG.9558
,,,MSTRG.9559
,,,AMEX60DD010656::MSTRG.9560
,,,AMEX60DD010657::MSTRG.9561
,,,AMEX60DD010659::MSTRG.9563
,,,AMEX60DD010660::MSTRG.9564
,,,AMEX60DD010661::MSTRG.9565
,,,AMEX60DD010663::MSTRG.9567
,,,AMEX60DD010666::MSTRG.9568
,,,AMEX60DD010667::MSTRG.9569
,,,AMEX60DD010668::MSTRG.9570
,,,AMEX60DD010669::MSTRG.9571
,,,AMEX60DD010670::MSTRG.9572
,,,AMEX60DD010676::MSTRG.9575
,,,AMEX60DD010677::MSTRG.9576
,,,AMEX60DD010680::MSTRG.9578
,,,AMEX60DD010683::MSTRG.9580
,,,AMEX60DD010685::MSTRG.9582
,,,AMEX60DD010686::MSTRG.9583
,,,AMEX60DD010710::MSTRG.9586
,,,AMEX60DD010711::MSTRG.9587
,,,AMEX60DD010713::MSTRG.9589
,,,MSTRG.9591
,,,MSTRG.9595
,,,AMEX60DD010729::MSTRG.9597
,,,AMEX60DD010732::MSTRG.9598
,,,AMEX60DD010736::MSTRG.9601
,,,AMEX60DD010737::MSTRG.9602
,,,AMEX60DD010739::MSTRG.9604
,,,AMEX60DD010740::MSTRG.9605
,,,AMEX60DD010741::MSTRG.9606
,,,AMEX60DD010747::MSTRG.9607
,,,MSTRG.9608
,,,MSTRG.9609
,,,AMEX60DD010749::MSTRG.9610
,,,AMEX60DD010765::MSTRG.9618
,,,AMEX60DD010779::MSTRG.9627
,,,MSTRG.9629
,,,MSTRG.9630
,,,RPL5::AMEX60DD010795::MSTRG.9631
,,,RPS18::AMEX60DD010813::MSTRG.9645
,,,AMEX60DD010825::MSTRG.9649
,,,MSTRG.9651
,,,AMEX60DD010833::MSTRG.9654
,,,AMEX60DD010834::MSTRG.9655
,,,MSTRG.9658
,,,MSTRG.9665
,,,MSTRG.9666
,,,MSTRG.9673
,,,MSTRG.9675
,,,AMEX60DD010872::MSTRG.9676
,,,AMEX60DD010874::MSTRG.9677
,,,AMEX60DD010876::MSTRG.9679
,,,AMEX60DD010876::MSTRG.9680
,,,AMEX60DD010877::MSTRG.9681
,,,AMEX60DD010885::MSTRG.9685
,,,AMEX60DD010896::MSTRG.9692
,,,AMEX60DD010898::MSTRG.9694
,,,AMEX60DD010899::MSTRG.9695
,,,AMEX60DD010901::MSTRG.9696
,,,AMEX60DD010900::MSTRG.9697
,,,MSTRG.9698
,,,AMEX60DD010902::MSTRG.9700
,,,AMEX60DD010905::MSTRG.9702
,,,AMEX60DD010906::MSTRG.9703
,,,AMEX60DD010908::MSTRG.9705
,,,AMEX60DD010910::MSTRG.9707
,,,AMEX60DD010919::MSTRG.9709
,,,AMEX60DD010929::MSTRG.9714
,,,MSTRG.9715
,,,AMEX60DD010924::MSTRG.9716
,,,AMEX60DD010931::MSTRG.9718
,,,AMEX60DD010933::MSTRG.9719
,,,AMEX60DD010934::MSTRG.9720
,,,AMEX60DD010936::MSTRG.9722
,,,MSTRG.9726
,,,AMEX60DD010940::MSTRG.9727
,,,AMEX60DD010942::MSTRG.9728
,,,AMEX60DD010944::MSTRG.9730
,,,AMEX60DD010945::MSTRG.9731
,,,AMEX60DD010946::MSTRG.9732
,,,AMEX60DD010952::MSTRG.9738
,,,MSTRG.9739
,,,MSTRG.9740
,,,AMEX60DD010955::MSTRG.9742
,,,MSTRG.9743
,,,MSTRG.9744
,,,AMEX60DD010957::MSTRG.9745
,,,AMEX60DD010956::MSTRG.9746
,,,MSTRG.9747
,,,AMEX60DD010958::MSTRG.9748
,,,MSTRG.9749
,,,AMEX60DD010959::MSTRG.9750
,,,AMEX60DD010961::MSTRG.9752
,,,AMEX60DD010963::MSTRG.9753
,,,AMEX60DD010964::MSTRG.9754
,,,MSTRG.9755
,,,AMEX60DD010965::MSTRG.9756
,,,AMEX60DD010967::MSTRG.9758
,,,AMEX60DD010973::MSTRG.9762
,,,AMEX60DD010974::MSTRG.9763
,,,AMEX60DD010978::MSTRG.9766
,,,AMEX60DD010979::MSTRG.9767
,,,AMEX60DD010983::MSTRG.9770
,,,MSTRG.9771
,,,MSTRG.9772
,,,MSTRG.9773
,,,AMEX60DD010996::MSTRG.9778
,,,AMEX60DD011003::MSTRG.9784
,,,AMEX60DD011001::MSTRG.9785
,,,AMEX60DD011006::MSTRG.9786
,,,MSTRG.9788
,,,AMEX60DD011014::MSTRG.9790
,,,AMEX60DD011015::MSTRG.9791
,,,AMEX60DD011021::MSTRG.9797
,,,AMEX60DD011022::MSTRG.9798
,,,AMEX60DD011030::MSTRG.9803
,,,AMEX60DD011037::MSTRG.9807
,,,AMEX60DD011058::MSTRG.9814
,,,AMEX60DD011060::MSTRG.9819
,,,AMEX60DD011061::MSTRG.9820
,,,AMEX60DD011069::MSTRG.9827
,,,AMEX60DD011078::MSTRG.9833
,,,AMEX60DD011084::MSTRG.9836
,,,AMEX60DD011086::MSTRG.9838
,,,MSTRG.9842
,,,MSTRG.9843
,,,MSTRG.9847
,,,MSTRG.9848
,,,MSTRG.9849
,,,AMEX60DD011097::MSTRG.9851
,,,AMEX60DD011099::MSTRG.9853
,,,MSTRG.9854
,,,AMEX60DD011111::MSTRG.9860
,,,AMEX60DD011116::MSTRG.9866
,,,MSTRG.9877
,,,MSTRG.9880
,,,AMEX60DD011152::MSTRG.9884
,,,AMEX60DD011158::MSTRG.9890
,,,AMEX60DD011159::MSTRG.9891
,,,AMEX60DD011164::MSTRG.9896
,,,AMEX60DD011165::MSTRG.9897
,,,AMEX60DD011166::MSTRG.9898
,,,MSTRG.9901
,,,MSTRG.9905
,,,MSTRG.9906
,,,AMEX60DD011206::MSTRG.9917
,,,AMEX60DD011216::MSTRG.9921
,,,AMEX60DD011236::MSTRG.9931
,,,MSTRG.9933
,,,AMEX60DD011242::MSTRG.9934
,,,AMEX60DD011243::MSTRG.9935
,,,AMEX60DD011247::MSTRG.9936
,,,MSTRG.9937
,,,AMEX60DD011248::MSTRG.9938
,,,AMEX60DD011249::MSTRG.9939
,,,AMEX60DD011268::MSTRG.9945
,,,AMEX60DD011280::MSTRG.9948
,,,MSTRG.9949
,,,AMEX60DD011282::MSTRG.9951
,,,AMEX60DD011299::MSTRG.9958
,,,AMEX60DD011300::MSTRG.9959
,,,AMEX60DD011309::MSTRG.9966
,,,AMEX60DD011321::MSTRG.9973
,,,MSTRG.9976
,,,AMEX60DD011334::MSTRG.9982
,,,AMEX60DD011335::MSTRG.9983
,,,AMEX60DD011339::MSTRG.9987
,,,MSTRG.9988
,,,AMEX60DD011354::MSTRG.9992
,,,AMEX60DD011361::MSTRG.9998
,,,MSTRG.9999
,,,AMEX60DD011364::MSTRG.10001
,,,AMEX60DD011367::MSTRG.10004
,,,AMEX60DD011368::MSTRG.10005
,,,MSTRG.10008
,,,RPLP0::AMEX60DD011374::MSTRG.10011
,,,AMEX60DD011377::MSTRG.10013
,,,AMEX60DD011380::MSTRG.10015
,,,AMEX60DD011382::MSTRG.10017
,,,MSTRG.10019
,,,AMEX60DD011387::MSTRG.10021
,,,AMEX60DD011406::MSTRG.10025
,,,AMEX60DD011420::MSTRG.10032
,,,AMEX60DD011422::MSTRG.10034
,,,AMEX60DD011429::MSTRG.10039
,,,AMEX60DD011430::MSTRG.10040
,,,AMEX60DD011434::MSTRG.10045
,,,AMEX60DD011437::MSTRG.10048
,,,MSTRG.10049
,,,MSTRG.10050
,,,AMEX60DD011438::MSTRG.10051
,,,AMEX60DD011439::MSTRG.10052
,,,AMEX60DD011444::MSTRG.10055
,,,AMEX60DD011458::MSTRG.10067
,,,AMEX60DD011459::MSTRG.10068
,,,AMEX60DD011464::MSTRG.10070
,,,AMEX60DD011465::MSTRG.10071
,,,AMEX60DD011478::MSTRG.10077
,,,AMEX60DD011479::MSTRG.10078
,,,AMEX60DD011480::MSTRG.10079
,,,MSTRG.10080
,,,AMEX60DD011488::MSTRG.10088
,,,AMEX60DD011490::MSTRG.10090
,,,AMEX60DD011493::MSTRG.10093
,,,AMEX60DD011496::MSTRG.10096
,,,AMEX60DD011505::MSTRG.10104
,,,AMEX60DD011508::MSTRG.10106
,,,AMEX60DD011516::MSTRG.10111
,,,AMEX60DD011517::MSTRG.10112
,,,AMEX60DD011519::MSTRG.10114
,,,AMEX60DD011522::MSTRG.10117
,,,AMEX60DD011527::MSTRG.10118
,,,AMEX60DD011539::MSTRG.10123
,,,AMEX60DD011540::MSTRG.10124
,,,AMEX60DD011541::MSTRG.10125
,,,AMEX60DD011549::MSTRG.10130
,,,AMEX60DD011550::MSTRG.10131
,,,AMEX60DD011556::MSTRG.10135
,,,MSTRG.10136
,,,AMEX60DD011557::MSTRG.10137
,,,AMEX60DD011564::MSTRG.10139
,,,AMEX60DD011571::MSTRG.10146
,,,MSTRG.10151
,,,AMEX60DD011589::MSTRG.10152
,,,MSTRG.10153
,,,AMEX60DD011590::MSTRG.10154
,,,MSTRG.10155
,,,MSTRG.10156
,,,AMEX60DD011602::MSTRG.10157
,,,AMEX60DD011605::MSTRG.10158
,,,AMEX60DD011646::MSTRG.10161
,,,AMEX60DD011651::MSTRG.10165
,,,AMEX60DD011660::MSTRG.10168
,,,AMEX60DD011661::MSTRG.10169
,,,AMEX60DD011671::MSTRG.10173
,,,AMEX60DD011672::MSTRG.10174
,,,AMEX60DD011689::MSTRG.10176
,,,AMEX60DD011692::MSTRG.10178
,,,AMEX60DD011695::MSTRG.10181
,,,AMEX60DD011697::MSTRG.10183
,,,AMEX60DD011698::MSTRG.10184
,,,AMEX60DD011699::MSTRG.10185
,,,AMEX60DD011721::MSTRG.10194
,,,MSTRG.10198
,,,MSTRG.10199
,,,RPS29::AMEX60DD011733::MSTRG.10204
,,,MSTRG.10205
,,,AMEX60DD011734::MSTRG.10206
,,,AMEX60DD011749::MSTRG.10208
,,,MSTRG.10212
,,,AMEX60DD011788::MSTRG.10215
,,,MSTRG.10217
,,,MSTRG.10219
,,,AMEX60DD011803::MSTRG.10226
,,,AMEX60DD011804::MSTRG.10227
,,,AMEX60DD011807::MSTRG.10230
,,,AMEX60DD011808::MSTRG.10231
,,,AMEX60DD011822::MSTRG.10238
,,,AMEX60DD011824::MSTRG.10240
,,,AMEX60DD011827::MSTRG.10241
,,,AMEX60DD011828::MSTRG.10242
,,,MSTRG.10243
,,,MSTRG.10251
,,,AMEX60DD011844::MSTRG.10254
,,,AMEX60DD011846::MSTRG.10255
,,,AMEX60DD011847::MSTRG.10256
,,,AMEX60DD011849::MSTRG.10258
,,,AMEX60DD011850::MSTRG.10259
,,,AMEX60DD011851::MSTRG.10260
,,,AMEX60DD011852::MSTRG.10261
,,,MSTRG.10268
,,,AMEX60DD011870::MSTRG.10272
,,,AMEX60DD011884::MSTRG.10279
,,,AMEX60DD011891::MSTRG.10282
,,,AMEX60DD011896::MSTRG.10286
,,,AMEX60DD011916::MSTRG.10301
,,,MSTRG.10302
,,,AMEX60DD011918::MSTRG.10305
,,,MSTRG.10306
,,,AMEX60DD011919::MSTRG.10307
,,,AMEX60DD011920::MSTRG.10308
,,,AMEX60DD011925::MSTRG.10312
,,,AMEX60DD011927::MSTRG.10314
,,,AMEX60DD011928::MSTRG.10315
,,,AMEX60DD011929::MSTRG.10316
,,,AMEX60DD011934::MSTRG.10320
,,,AMEX60DD011942::MSTRG.10325
,,,AMEX60DD011978::MSTRG.10341
,,,AMEX60DD011983::MSTRG.10346
,,,MSTRG.10348
,,,AMEX60DD011989::MSTRG.10352
,,,AMEX60DD012002::MSTRG.10357
,,,AMEX60DD012003::MSTRG.10358
,,,AMEX60DD012006::MSTRG.10361
,,,AMEX60DD012007::MSTRG.10362
,,,AMEX60DD012031::MSTRG.10369
,,,AMEX60DD012033::MSTRG.10371
,,,MSTRG.10373
,,,AMEX60DD012040::MSTRG.10378
,,,AMEX60DD012042::MSTRG.10380
,,,AMEX60DD012043::MSTRG.10381
,,,AMEX60DD012044::MSTRG.10382
,,,AMEX60DD012045::MSTRG.10383
,,,AMEX60DD012062::MSTRG.10387
,,,AMEX60DD012064::MSTRG.10389
,,,AMEX60DD012068::MSTRG.10392
,,,AMEX60DD012081::MSTRG.10404
,,,AMEX60DD012082::MSTRG.10405
,,,AMEX60DD012097::MSTRG.10411
,,,MSTRG.10413
,,,MSTRG.10414
,,,MSTRG.10415
,,,AMEX60DD012105::MSTRG.10419
,,,AMEX60DD012113::MSTRG.10424
,,,AMEX60DD012118::MSTRG.10426
,,,AMEX60DD012121::MSTRG.10428
,,,MSTRG.10430
,,,AMEX60DD012127::MSTRG.10432
,,,AMEX60DD012129::MSTRG.10433
,,,AMEX60DD012139::MSTRG.10437
,,,AMEX60DD012150::MSTRG.10441
,,,MSTRG.10443
,,,MSTRG.10444
,,,AMEX60DD012168::MSTRG.10448
,,,AMEX60DD012169::MSTRG.10449
,,,MSTRG.10453
,,,AMEX60DD012214::MSTRG.10469
,,,AMEX60DD012217::MSTRG.10472
,,,AMEX60DD012218::MSTRG.10473
,,,AMEX60DD012225::MSTRG.10479
,,,AMEX60DD012257::MSTRG.10488
,,,AMEX60DD012258::MSTRG.10489
,,,MSTRG.10491
,,,AMEX60DD012265::MSTRG.10495
,,,AMEX60DD012267::MSTRG.10497
,,,AMEX60DD012279::MSTRG.10501
,,,MSTRG.10503
,,,AMEX60DD012286::MSTRG.10505
,,,AMEX60DD012287::MSTRG.10506
,,,MSTRG.10507
,,,MSTRG.10511
,,,AMEX60DD012326::MSTRG.10513
,,,AMEX60DD012327::MSTRG.10514
,,,AMEX60DD012335::MSTRG.10520
,,,AMEX60DD012337::MSTRG.10522
,,,AMEX60DD012338::MSTRG.10523
,,,AMEX60DD012339::MSTRG.10524
,,,AMEX60DD012354::MSTRG.10528
,,,AMEX60DD012355::MSTRG.10529
,,,AMEX60DD012368::MSTRG.10533
,,,AMEX60DD012370::MSTRG.10534
,,,MSTRG.10537
,,,AMEX60DD012376::MSTRG.10538
,,,AMEX60DD012389::MSTRG.10542
,,,AMEX60DD012390::MSTRG.10543
,,,AMEX60DD012397::MSTRG.10546
,,,MSTRG.10548
,,,MSTRG.10550
,,,AMEX60DD012400::MSTRG.10552
,,,AMEX60DD012410::MSTRG.10554
,,,MSTRG.10556
,,,MSTRG.10557
,,,MSTRG.10558
,,,AMEX60DD012430::MSTRG.10561
,,,AMEX60DD012431::MSTRG.10562
,,,MSTRG.10564
,,,AMEX60DD012459::MSTRG.10567
,,,MSTRG.10569
,,,MSTRG.10575
,,,AMEX60DD012480::MSTRG.10576
,,,MSTRG.10577
,,,AMEX60DD012481::MSTRG.10578
,,,MSTRG.10580
,,,AMEX60DD012483::MSTRG.10581
,,,AMEX60DD012487::MSTRG.10582
,,,AMEX60DD012489::MSTRG.10583
,,,MSTRG.10584
,,,MSTRG.10585
,,,AMEX60DD012490::MSTRG.10586
,,,MSTRG.10587
,,,MSTRG.10588
,,,AMEX60DD012505::MSTRG.10589
,,,MSTRG.10591
,,,MSTRG.10592
,,,AMEX60DD012509::MSTRG.10593
,,,AMEX60DD012508::MSTRG.10594
,,,MSTRG.10595
,,,AMEX60DD012510::MSTRG.10596
,,,MSTRG.10597
,,,MSTRG.10598
,,,MSTRG.10599
,,,AMEX60DD012511::MSTRG.10600
,,,AMEX60DD012523::MSTRG.10605
,,,MSTRG.10610
,,,AMEX60DD012530::MSTRG.10612
,,,AMEX60DD012531::MSTRG.10613
,,,AMEX60DD012532::MSTRG.10614
,,,MSTRG.10617
,,,AMEX60DD012540::MSTRG.10618
,,,AMEX60DD012544::MSTRG.10620
,,,AMEX60DD012555::MSTRG.10625
,,,AMEX60DD012556::MSTRG.10626
,,,MSTRG.10630
,,,AMEX60DD012561::MSTRG.10631
,,,AMEX60DD012564::MSTRG.10633
,,,AMEX60DD012567::MSTRG.10636
,,,AMEX60DD012579::MSTRG.10644
,,,AMEX60DD012585::MSTRG.10647
,,,AMEX60DD012587::MSTRG.10648
,,,AMEX60DD012600::MSTRG.10658
,,,AMEX60DD012608::MSTRG.10664
,,,AMEX60DD012611::MSTRG.10666
,,,AMEX60DD012613::MSTRG.10668
,,,AMEX60DD012616::MSTRG.10670
,,,AMEX60DD012617::MSTRG.10671
,,,AMEX60DD012618::MSTRG.10672
,,,AMEX60DD012636::MSTRG.10679
,,,AMEX60DD012635::MSTRG.10680
,,,AMEX60DD012640::MSTRG.10682
,,,MSTRG.10693
,,,MSTRG.10695
,,,AMEX60DD012695::MSTRG.10698
,,,MSTRG.10700
,,,AMEX60DD012702::MSTRG.10701
,,,MSTRG.10702
,,,MSTRG.10703
,,,MSTRG.10704
,,,AMEX60DD012719::MSTRG.10708
,,,AMEX60DD012725::MSTRG.10710
,,,MSTRG.10711
,,,MSTRG.10712
,,,AMEX60DD012735::MSTRG.10714
,,,MSTRG.10719
,,,AMEX60DD012770::MSTRG.10726
,,,MSTRG.10730
,,,AMEX60DD012781::MSTRG.10735
,,,MSTRG.10737
,,,MSTRG.10740
,,,MSTRG.10743
,,,PEG10::AMEX60DD012836::MSTRG.10750
,,,AMEX60DD012837::MSTRG.10751
,,,AMEX60DD012847::MSTRG.10755
,,,AMEX60DD012848::MSTRG.10756
,,,MSTRG.10758
,,,AMEX60DD012858::MSTRG.10759
,,,AMEX60DD012859::MSTRG.10760
,,,AMEX60DD012860::MSTRG.10761
,,,MSTRG.10762
,,,AMEX60DD012861::MSTRG.10763
,,,AMEX60DD012870::MSTRG.10765
,,,AMEX60DD012871::MSTRG.10766
,,,AMEX60DD012877::MSTRG.10769
,,,AMEX60DD012882::MSTRG.10771
,,,AMEX60DD012883::MSTRG.10772
,,,AMEX60DD012884::MSTRG.10773
,,,MSTRG.10781
,,,AMEX60DD012920::MSTRG.10785
,,,AMEX60DD012922::MSTRG.10787
,,,MSTRG.10788
,,,MSTRG.10789
,,,AMEX60DD012924::MSTRG.10791
,,,AMEX60DD012926::MSTRG.10793
,,,AMEX60DD012927::MSTRG.10794
,,,AMEX60DD012928::MSTRG.10795
,,,AMEX60DD012929::MSTRG.10796
,,,AMEX60DD012930::MSTRG.10797
,,,AMEX60DD012933::MSTRG.10799
,,,AMEX60DD012935::MSTRG.10801
,,,AMEX60DD012936::MSTRG.10802
,,,AMEX60DD012945::MSTRG.10808
,,,AMEX60DD012946::MSTRG.10809
,,,AMEX60DD012951::MSTRG.10812
,,,MSTRG.10813
,,,AMEX60DD012952::MSTRG.10814
,,,MSTRG.10815
,,,AMEX60DD012953::MSTRG.10816
,,,AMEX60DD012958::MSTRG.10820
,,,MSTRG.10825
,,,AMEX60DD012979::MSTRG.10831
,,,AMEX60DD012981::MSTRG.10833
,,,AMEX60DD012991::MSTRG.10836
,,,AMEX60DD012992::MSTRG.10837
,,,AMEX60DD012995::MSTRG.10840
,,,AMEX60DD012999::MSTRG.10842
,,,AMEX60DD013006::MSTRG.10845
,,,AMEX60DD013008::MSTRG.10847
,,,AMEX60DD013011::MSTRG.10849
,,,AMEX60DD013014::MSTRG.10852
,,,AMEX60DD013015::MSTRG.10853
,,,MSTRG.10854
,,,AMEX60DD013030::MSTRG.10856
,,,MSTRG.10858
,,,AMEX60DD013038::MSTRG.10863
,,,AMEX60DD013039::MSTRG.10864
,,,AMEX60DD013040::MSTRG.10865
,,,MSTRG.10867
,,,AMEX60DD013061::MSTRG.10868
,,,MSTRG.10871
,,,AMEX60DD013094::MSTRG.10873
,,,AMEX60DD013103::MSTRG.10876
,,,AMEX60DD013106::MSTRG.10879
,,,AMEX60DD013118::MSTRG.10883
,,,AMEX60DD013136::MSTRG.10890
,,,AMEX60DD013137::MSTRG.10891
,,,AMEX60DD013147::MSTRG.10893
,,,AMEX60DD013159::MSTRG.10895
,,,AMEX60DD013164::MSTRG.10897
,,,GIN1::AMEX60DD013165::MSTRG.10898
,,,AMEX60DD013175::MSTRG.10900
,,,MSTRG.10908
,,,MSTRG.10909
,,,MSTRG.10910
,,,MSTRG.10914
,,,AMEX60DD013197::MSTRG.10915
,,,MSTRG.10918
,,,AMEX60DD013233::MSTRG.10920
,,,AMEX60DD013249::MSTRG.10921
,,,AMEX60DD013292::MSTRG.10923
,,,AMEX60DD013296::MSTRG.10928
,,,AMEX60DD013297::MSTRG.10929
,,,AMEX60DD013298::MSTRG.10930
,,,AMEX60DD013299::MSTRG.10931
,,,MSTRG.10932
,,,MSTRG.10934
,,,MSTRG.10937
,,,MSTRG.10939
,,,AMEX60DD013310::MSTRG.10941
,,,AMEX60DD013311::MSTRG.10942
,,,AMEX60DD013314::MSTRG.10944
,,,AMEX60DD013315::MSTRG.10945
,,,AMEX60DD013318::MSTRG.10948
,,,AMEX60DD013320::MSTRG.10950
,,,MSTRG.10951
,,,MSTRG.10954
,,,MSTRG.10955
,,,RPL36A::AMEX60DD013341::MSTRG.10957
,,,RPLP0::AMEX60DD013345::MSTRG.10959
,,,AMEX60DD013347::MSTRG.10960
,,,MSTRG.10961
,,,AMEX60DD013348::MSTRG.10962
,,,MSTRG.10963
,,,AMEX60DD013364::MSTRG.10966
,,,AMEX60DD013375::MSTRG.10970
,,,MSTRG.10971
,,,AMEX60DD013388::MSTRG.10972
,,,MSTRG.10973
,,,AMEX60DD013395::MSTRG.10977
,,,AMEX60DD013397::MSTRG.10979
,,,MSTRG.10980
,,,AMEX60DD013410::MSTRG.10982
,,,AMEX60DD013413::MSTRG.10984
,,,AMEX60DD013414::MSTRG.10985
,,,MSTRG.10986
,,,AMEX60DD013426::MSTRG.10987
,,,MSTRG.10988
,,,AMEX60DD013447::MSTRG.10994
,,,MSTRG.11001
,,,MSTRG.11003
,,,AMEX60DD013465::MSTRG.11007
,,,MSTRG.11018
,,,RPS15::AMEX60DD013500::MSTRG.11020
,,,AMEX60DD013502::MSTRG.11022
,,,AMEX60DD013510::MSTRG.11026
,,,MSTRG.11027
,,,MSTRG.11029
,,,MSTRG.11030
,,,MSTRG.11031
,,,MSTRG.11033
,,,MSTRG.11034
,,,AMEX60DD013521::MSTRG.11036
,,,AMEX60DD013522::MSTRG.11037
,,,AMEX60DD013526::MSTRG.11041
,,,AMEX60DD013527::MSTRG.11042
,,,AMEX60DD013529::MSTRG.11044
,,,AMEX60DD013530::MSTRG.11045
,,,AMEX60DD013531::MSTRG.11046
,,,AMEX60DD013532::MSTRG.11047
,,,MSTRG.11049
,,,MSTRG.11052
,,,AMEX60DD013547::MSTRG.11053
,,,MSTRG.11056
,,,AMEX60DD013561::MSTRG.11059
,,,AMEX60DD013563::MSTRG.11061
,,,AMEX60DD013564::MSTRG.11062
,,,AMEX60DD013567::MSTRG.11065
,,,AMEX60DD013569::MSTRG.11067
,,,AMEX60DD013573::MSTRG.11071
,,,AMEX60DD013577::MSTRG.11074
,,,MSTRG.11076
,,,AMEX60DD013593::MSTRG.11079
,,,AMEX60DD013594::MSTRG.11080
,,,MSTRG.11081
,,,AMEX60DD013614::MSTRG.11082
,,,MSTRG.11083
,,,AMEX60DD013618::MSTRG.11084
,,,AMEX60DD013623::MSTRG.11086
,,,AMEX60DD013624::MSTRG.11087
,,,AMEX60DD013625::MSTRG.11088
,,,AMEX60DD013626::MSTRG.11089
,,,AMEX60DD013622::MSTRG.11093
,,,MSTRG.11096
,,,AMEX60DD013646::MSTRG.11100
,,,MSTRG.11101
,,,AMEX60DD013647::MSTRG.11102
,,,AMEX60DD013651::MSTRG.11103
,,,AMEX60DD013659::MSTRG.11105
,,,AMEX60DD013661::MSTRG.11106
,,,AMEX60DD013663::MSTRG.11108
,,,MSTRG.11110
,,,AMEX60DD013671::MSTRG.11113
,,,AMEX60DD013672::MSTRG.11115
,,,MSTRG.11116
,,,MSTRG.11117
,,,AMEX60DD013680::MSTRG.11119
,,,AMEX60DD013681::MSTRG.11120
,,,AMEX60DD013687::MSTRG.11122
,,,AMEX60DD013692::MSTRG.11127
,,,AMEX60DD013694::MSTRG.11129
,,,MSTRG.11130
,,,MSTRG.11131
,,,AMEX60DD013717::MSTRG.11132
,,,AMEX60DD013763::MSTRG.11135
,,,AMEX60DD013764::MSTRG.11136
,,,MSTRG.11137
,,,AMEX60DD013772::MSTRG.11138
,,,MSTRG.11139
,,,MSTRG.11141
,,,AMEX60DD013781::MSTRG.11145
,,,AMEX60DD013782::MSTRG.11146
,,,AMEX60DD013783::MSTRG.11147
,,,MSTRG.11150
,,,MSTRG.11151
,,,MSTRG.11154
,,,AMEX60DD013806::MSTRG.11159
,,,AMEX60DD013806::MSTRG.11160
,,,AMEX60DD013810::MSTRG.11164
,,,AMEX60DD013811::MSTRG.11165
,,,AMEX60DD013812::MSTRG.11166
,,,MSTRG.11167
,,,AMEX60DD013813::MSTRG.11168
,,,AMEX60DD013813::MSTRG.11169
,,,MSTRG.11175
,,,AMEX60DD013820::MSTRG.11176
,,,AMEX60DD013823::MSTRG.11179
,,,AMEX60DD013824::MSTRG.11180
,,,AMEX60DD013826::MSTRG.11182
,,,MSTRG.11185
,,,AMEX60DD013830::MSTRG.11186
,,,AMEX60DD013831::MSTRG.11187
,,,AMEX60DD013832::MSTRG.11188
,,,MSTRG.11189
,,,AMEX60DD013833::MSTRG.11190
,,,AMEX60DD013836::MSTRG.11192
,,,AMEX60DD013858::MSTRG.11195
,,,AMEX60DD013852::MSTRG.11196
,,,AMEX60DD013853::MSTRG.11197
,,,AMEX60DD013854::MSTRG.11198
,,,AMEX60DD013855::MSTRG.11199
,,,AMEX60DD013856::MSTRG.11200
,,,AMEX60DD013857::MSTRG.11201
,,,AMEX60DD013871::MSTRG.11203
,,,AMEX60DD013872::MSTRG.11204
,,,AMEX60DD013873::MSTRG.11205
,,,AMEX60DD013874::MSTRG.11206
,,,AMEX60DD013890::MSTRG.11208
,,,MSTRG.11209
,,,AMEX60DD013891::MSTRG.11210
,,,AMEX60DD013892::MSTRG.11211
,,,AMEX60DD013905::MSTRG.11216
,,,AMEX60DD013912::MSTRG.11219
,,,AMEX60DD013913::MSTRG.11220
,,,AMEX60DD013914::MSTRG.11221
,,,AMEX60DD013916::MSTRG.11223
,,,AMEX60DD013933::MSTRG.11231
,,,MSTRG.11233
,,,AMEX60DD013947::MSTRG.11235
,,,AMEX60DD013951::MSTRG.11238
,,,AMEX60DD013967::MSTRG.11244
,,,AMEX60DD013981::MSTRG.11249
,,,AMEX60DD013983::MSTRG.11251
,,,AMEX60DD013985::MSTRG.11253
,,,AMEX60DD013986::MSTRG.11254
,,,MSTRG.11256
,,,AMEX60DD013989::MSTRG.11257
,,,AMEX60DD013996::MSTRG.11261
,,,AMEX60DD014000::MSTRG.11265
