MTgenes,G2Mgenes,Sgenes,RMgenes
COX4I1::AMEX60DD038632::MSTRG.23006,HMGB2::AMEX60DD027332::MSTRG.17636,MSH2::AMEX60DD042379::MSTRG.24735,AMEX60DDU001000253::MSTRG.56
COX6C::AMEX60DD040191::MSTRG.23629,AURKA::AMEX60DD027353::MSTRG.17641,MSH2::AMEX60DD042380::MSTRG.24736,AMEX60DDU001000254::MSTRG.57
COX1::AMEX60DD041808::MSTRG.24467,UBE2C::AMEX60DD027495::MSTRG.17704,CENPU::AMEX60DD045387::MSTRG.26112,AMEX60DDU001000255::MSTRG.58
ND4::AMEX60DD041809::MSTRG.24468,CDC25C::AMEX60DD027921::MSTRG.17924,SLBP::AMEX60DD046050::MSTRG.26428,AMEX60DDU001000256::MSTRG.59
ND5::AMEX60DD041810::MSTRG.24469,MKI67::AMEX60DD028336::MSTRG.18150,CHAF1B::AMEX60DD047224::MSTRG.27004,AMEX60DDU001000257::MSTRG.60
ND1::AMEX60DD041812::MSTRG.24471,HMGB2::AMEX60DD028499::MSTRG.18268,POLD3::AMEX60DD049820::MSTRG.28169,AMEX60DDU001000267::MSTRG.61
COX7C-MOUSE::AMEX60DD042523::MSTRG.24812,CBX5::AMEX60DD029482::MSTRG.18766,HELLS::AMEX60DD051756::MSTRG.29203,AMEX60DDU001000284::MSTRG.64
COX18::AMEX60DD046307::MSTRG.26535,HMMR::AMEX60DD030317::MSTRG.19246,RFC2::AMEX60DD054170::MSTRG.30422,AMEX60DDU001000291::MSTRG.66
COX8A-EULFU::MSTRG.28054,TUBB4B::AMEX60DD031200::MSTRG.19680,CDCA7::AMEX60DD055685::MSTRG.31236,AMEX60DDU001000296::MSTRG.68
COX8B-BOVIN::AMEX60DD051226::MSTRG.28905,BIRC5::AMEX60DD031447::MSTRG.19807,MCM6::AMEX60DD055958::MSTRG.31364,AMEX60DDU001000297::MSTRG.69
COX15::AMEX60DD052781::MSTRG.29699,TUBB4B::AMEX60DD032108::MSTRG.20141,UHRF1::AMEX60DD003819,AMEX60DDU001000298::MSTRG.70
COX15::AMEX60DD052782::MSTRG.29700,TUBB4B::AMEX60DD032109::MSTRG.20142,NASP::AMEX60DD009437,AMEX60DDU001000304::MSTRG.71
COX7C-MOUSE::AMEX60DD055862::MSTRG.31318,TTK::AMEX60DD033686::MSTRG.20832,NASP::AMEX60DD009438,AMEX60DDU001000326::MSTRG.73
COX8A-TRACR::AMEX60DD025001,TTK::AMEX60DD033687::MSTRG.20833,RRM2::AMEX60DD018587,AMEX60DDU001000327::MSTRG.74
COX2::AMEX60DD026191,HMGB2::AMEX60DD033981::MSTRG.20929,CDCA7::AMEX60DD029549,AMEX60DDU001000331::MSTRG.78
ND5::AMEX60DD026195,BUB1::AMEX60DD034434::MSTRG.21145,MCM6::AMEX60DD038165,AMEX60DDU001000352::MSTRG.80
COX15::AMEX60DD035304,NEK2::AMEX60DD036053::MSTRG.21895,MCM6::AMEX60DD038166,MSTRG.83
COX7B::AMEX60DD041734,CENPF::AMEX60DD036088::MSTRG.21915,,AMEX60DDU001000378::MSTRG.87
COX8A-TRACR::AMEX60DD047684,LBR::AMEX60DD036286::MSTRG.22010,,AMEX60DDU001000393::MSTRG.90
,ANLN::AMEX60DD038062::MSTRG.22746,,AMEX60DDU001000394::MSTRG.91
,ANLN::AMEX60DD038063::MSTRG.22747,,AMEX60DDU001000499::MSTRG.94
,CKS2::AMEX60DD042983::MSTRG.24986,,AMEX60DDU001000500::MSTRG.95
,CENPE::AMEX60DD044570::MSTRG.25792,,AMEX60DDU001000510::MSTRG.98
,CENPE::AMEX60DD044675::MSTRG.25832,,AMEX60DDU001000511::MSTRG.99
,HMGB2::AMEX60DD045291::MSTRG.26075,,AMEX60DDU001000512::MSTRG.100
,TACC3::AMEX60DD046046::MSTRG.26426,,AMEX60DDU001000524::MSTRG.102
,NDC80::AMEX60DD046925::MSTRG.26846,,AMEX60DDU001000549::MSTRG.107
,CKAP2::AMEX60DD049130::MSTRG.27820,,AMEX60DDU001000550::MSTRG.108
,TUBB4B::AMEX60DD051078::MSTRG.28812,,AMEX60DDU001000567::MSTRG.111
,CDK1::AMEX60DD052476::MSTRG.29538,,AMEX60DDU001000568::MSTRG.112
,KIF11::AMEX60DD052634::MSTRG.29640,,AMEX60DDU001000569::MSTRG.113
,TUBB4B::AMEX60DD022017,,AMEX60DDU001000571::MSTRG.115
,CENPF::AMEX60DD025323,,MSTRG.117
,CENPF::AMEX60DD025324,,AMEX60DDU001000685::MSTRG.119
,TPX2::AMEX60DD027188,,AMEX60DDU001000686::MSTRG.120
,TPX2::AMEX60DD027191,,AMEX60DDU001000698::MSTRG.124
,BIRC5::AMEX60DD029442,,AMEX60DDU001000699::MSTRG.125
,G2E3::AMEX60DD034531,,AMEX60DDU001000701::MSTRG.127
,NUF2::AMEX60DD042936,,AMEX60DDU001000703::MSTRG.129
,JPT1::AMEX60DD044088,,AMEX60DDU001000704::MSTRG.130
,CBX5::AMEX60DD050709,,AMEX60DDU001000707::MSTRG.132
,TUBB4B::AMEX60DD052927,,AMEX60DDU001000708::MSTRG.133
,CBX5::AMEX60DD056607,,AMEX60DDU001000717::MSTRG.136
,CBX5::AMEX60DD056609,,MSTRG.140
,CBX5::AMEX60DDU001002061,,AMEX60DDU001000759::MSTRG.145
,NEK2::AMEX60DDU001003562,,AMEX60DDU001000787::MSTRG.148
,CBX5::AMEX60DDU001007026,,AMEX60DDU001000789::MSTRG.150
,CBX5::AMEX60DDU001010657,,AMEX60DDU001000792::MSTRG.153
,G2E3::AMEX60DDU001013089,,AMEX60DDU001000793::MSTRG.154
,CBX5::AMEX60DDU001013959,,AMEX60DDU001000794::MSTRG.155
,CBX5::AMEX60DDU001020365,,AMEX60DDU001000795::MSTRG.156
,CBX5::AMEX60DDU001022836,,AMEX60DDU001000829::MSTRG.158
,BIRC5::AMEX60DDU001023341,,AMEX60DDU001000830::MSTRG.159
,CBX5::AMEX60DDU001025628,,AMEX60DDU001000831::MSTRG.160
,PIMREG::AMEX60DDU001025748,,AMEX60DDU001000832::MSTRG.161
,CBX5::AMEX60DDU001030510,,AMEX60DDU001000834::MSTRG.163
,PIMREG::AMEX60DDU001032719,,AMEX60DDU001000835::MSTRG.164
,CBX5::AMEX60DDU001035452,,AMEX60DDU001000836::MSTRG.165
,CBX5::AMEX60DDU001038366,,AMEX60DDU001000837::MSTRG.166
,,,MSTRG.167
,,,MSTRG.169
,,,AMEX60DDU001000856::MSTRG.171
,,,AMEX60DDU001000857::MSTRG.172
,,,AMEX60DDU001000889::MSTRG.177
,,,AMEX60DDU001000892::MSTRG.179
,,,AMEX60DDU001000913::MSTRG.181
,,,AMEX60DDU001000920::MSTRG.184
,,,AMEX60DDU001000931::MSTRG.189
,,,AMEX60DDU001000952::MSTRG.193
,,,MSTRG.194
,,,AMEX60DDU001001017::MSTRG.198
,,,AMEX60DDU001001031::MSTRG.202
,,,AMEX60DDU001001090::MSTRG.207
,,,MSTRG.208
,,,AMEX60DDU001001097::MSTRG.210
,,,AMEX60DDU001001098::MSTRG.211
,,,AMEX60DDU001001136::MSTRG.213
,,,MSTRG.215
,,,AMEX60DDU001001138::MSTRG.216
,,,AMEX60DDU001001139::MSTRG.217
,,,MSTRG.218
,,,AMEX60DDU001001141::MSTRG.220
,,,AMEX60DDU001001142::MSTRG.221
,,,AMEX60DDU001001143::MSTRG.222
,,,AMEX60DDU001001144::MSTRG.223
,,,AMEX60DDU001001145::MSTRG.224
,,,AMEX60DDU001001146::MSTRG.225
,,,AMEX60DDU001001148::MSTRG.227
,,,AMEX60DDU001001149::MSTRG.228
,,,MSTRG.231
,,,AMEX60DDU001001162::MSTRG.234
,,,AMEX60DDU001001164::MSTRG.236
,,,AMEX60DDU001001168::MSTRG.240
,,,AMEX60DDU001001169::MSTRG.241
,,,AMEX60DDU001001174::MSTRG.245
,,,AMEX60DDU001001177::MSTRG.247
,,,AMEX60DDU001001178::MSTRG.248
,,,AMEX60DDU001001180::MSTRG.250
,,,AMEX60DDU001001181::MSTRG.251
,,,PEG10::AMEX60DDU001001182::MSTRG.252
,,,AMEX60DDU001001183::MSTRG.253
,,,AMEX60DDU001001184::MSTRG.254
,,,AMEX60DDU001001185::MSTRG.255
,,,AMEX60DDU001001186::MSTRG.256
,,,AMEX60DDU001001187::MSTRG.257
,,,AMEX60DDU001001188::MSTRG.258
,,,AMEX60DDU001001191::MSTRG.261
,,,AMEX60DDU001001192::MSTRG.262
,,,AMEX60DDU001001193::MSTRG.263
,,,AMEX60DDU001001194::MSTRG.264
,,,RPS3::AMEX60DDU001001251::MSTRG.265
,,,AMEX60DDU001001263::MSTRG.268
,,,AMEX60DDU001001265::MSTRG.270
,,,AMEX60DDU001001287::MSTRG.271
,,,AMEX60DDU001001289::MSTRG.273
,,,AMEX60DDU001001290::MSTRG.274
,,,AMEX60DDU001001291::MSTRG.275
,,,AMEX60DDU001001296::MSTRG.277
,,,AMEX60DDU001001297::MSTRG.278
,,,MSTRG.279
,,,AMEX60DDU001001298::MSTRG.280
,,,AMEX60DDU001001299::MSTRG.281
,,,AMEX60DDU001001300::MSTRG.282
,,,AMEX60DDU001001350::MSTRG.284
,,,AMEX60DDU001001351::MSTRG.285
,,,AMEX60DDU001001352::MSTRG.286
,,,AMEX60DDU001001353::MSTRG.287
,,,AMEX60DDU001001364::MSTRG.289
,,,RPSA::AMEX60DDU001001369::MSTRG.290
,,,AMEX60DDU001001402::MSTRG.299
,,,AMEX60DDU001001403::MSTRG.300
,,,AMEX60DDU001001406::MSTRG.303
,,,AMEX60DDU001001407::MSTRG.304
,,,AMEX60DDU001001408::MSTRG.305
,,,AMEX60DDU001001409::MSTRG.306
,,,AMEX60DDU001001411::MSTRG.308
,,,AMEX60DDU001001412::MSTRG.309
,,,MSTRG.310
,,,AMEX60DDU001001413::MSTRG.311
,,,AMEX60DDU001001417::MSTRG.312
,,,AMEX60DDU001001418::MSTRG.313
,,,AMEX60DDU001001419::MSTRG.314
,,,AMEX60DDU001001420::MSTRG.315
,,,AMEX60DDU001001421::MSTRG.316
,,,AMEX60DDU001001423::MSTRG.318
